Plant group,Genus,Species,Ploidy level,1C (pg),Original Reference,Paper
Algae,Cladophora,laetevirens,,0.3,"Bot et al., 1990 (Ref. 5)",2005
Algae,Gelidium,crinale,,0.3,"Freshwater, 1993 (Ref. 7)",2005
Algae,Gelidium,robustum,,0.3,"Freshwater, 1993 (Ref. 7)",2005
Algae,Pterocladiella,melanoidea,,0.3,"Freshwater, 1993 (Ref. 7)",2005
Algae,Chaetomorpha,melagonium,,0.3,"Hinson and Kapraun, 1991 (Ref. 9)",2005
Algae,Ulva,fasciata,,0.3,"Kapraun and Bailey, 1992 (Ref. 12)",2005
Algae,Enteromorpha,linza,,0.3,"Kapraun and Bailey, 1992 (Ref. 12)",2005
Algae,Colpomenia,sinuosa,,0.3,"Kapraun, 2005 (Ref. 23)",2005
Algae,Spongomorpha,arcta,,0.3,"Kapraun, 2005 (Ref. 23)",2005
Algae,Colaconema,daviesii,,0.3,"Kapraun, 2005 (Ref. 23)",2005
